,CustomerID,R_Value,F_Value,M_Value,R_Score,F_Score,M_Score,Segment,Country
0,12347.0,3123.0,182,4310.0,5,5,1,Customers needing Attention,Iceland
1,12348.0,3196.0,31,6107.24,2,3,1,Customers needing Attention,Finland
2,12349.0,3139.0,73,7864.790000000001,4,4,1,Customers needing Attention,Italy
3,12350.0,3431.0,17,8199.189999999999,1,2,1,Hibernating,Norway
4,12352.0,3157.0,85,10705.229999999992,3,4,1,Customers needing Attention,Norway
5,12353.0,3325.0,4,10794.229999999992,1,1,1,Hibernating,Bahrain
6,12354.0,3353.0,58,11873.629999999997,1,3,1,Customers needing Attention,Spain
7,12355.0,3335.0,13,12333.029999999999,1,1,1,Hibernating,Bahrain
8,12356.0,3143.0,59,15144.45999999999,4,4,1,Customers needing Attention,Portugal
9,12357.0,3154.0,131,21352.130000000037,3,5,1,Customers needing Attention,Switzerland
10,12358.0,3122.0,19,22520.19000000005,5,2,1,Potential Loyalist,Austria
11,12359.0,3178.0,248,28892.77000000004,3,5,1,Customers needing Attention,Cyprus
12,12360.0,3173.0,129,31554.830000000038,3,5,1,Customers needing Attention,Austria
13,12361.0,3408.0,10,31744.730000000043,1,1,1,Hibernating,Belgium
14,12362.0,3124.0,266,36970.96000000004,5,5,1,Customers needing Attention,Belgium
15,12363.0,3230.0,23,37522.960000000036,2,2,1,About to Sleep,Unspecified
16,12364.0,3128.0,85,38836.060000000005,5,4,1,Customers needing Attention,Belgium
17,12365.0,3412.0,22,39477.439999999995,1,2,1,Hibernating,Cyprus
18,12367.0,3125.0,11,39646.34,5,1,1,Potential Loyalist,Denmark
19,12370.0,3172.0,167,43192.02999999994,3,5,1,Customers needing Attention,Austria
20,12371.0,3165.0,63,45079.98999999992,3,4,1,Customers needing Attention,Switzerland
21,12372.0,3192.0,52,46378.02999999995,3,3,1,Potential Loyalist,Denmark
22,12373.0,3432.0,14,46742.62999999995,1,1,1,Hibernating,Austria
23,12374.0,3146.0,33,47485.559999999954,4,3,1,Potential Loyalist,Austria
24,12375.0,3131.0,17,47943.05999999997,5,2,1,Potential Loyalist,Finland
25,12377.0,3436.0,77,49571.17999999998,1,4,1,Customers needing Attention,Switzerland
26,12378.0,3250.0,219,53579.799999999974,2,5,1,Customers needing Attention,Switzerland
27,12379.0,3202.0,40,54432.039999999986,2,3,1,Customers needing Attention,Belgium
28,12380.0,3142.0,104,57156.850000000006,4,4,1,Customers needing Attention,Belgium
29,12381.0,3125.0,87,59002.16,5,4,1,Customers needing Attention,Norway
30,12383.0,3305.0,99,60852.719999999994,1,4,1,Customers needing Attention,Belgium
31,12384.0,3149.0,27,61437.99,4,2,1,Potential Loyalist,Switzerland
32,12386.0,3458.0,10,61839.89,1,1,1,Hibernating,Australia
33,12388.0,3136.0,100,64620.54999999992,4,4,1,Customers needing Attention,Australia
34,12390.0,3200.0,32,65170.38999999992,2,3,1,Customers needing Attention,Belgium
35,12391.0,3142.0,100,65631.27999999988,4,4,1,Customers needing Attention,Cyprus
36,12393.0,3193.0,64,67213.87999999986,2,4,1,Customers needing Attention,Australia
37,12394.0,3184.0,27,68486.35999999987,3,2,1,Potential Loyalist,Belgium
38,12395.0,3140.0,156,71504.98999999974,4,5,1,Customers needing Attention,Belgium
39,12397.0,3156.0,126,73914.88999999966,3,5,1,Customers needing Attention,Belgium
40,12398.0,3166.0,85,75550.54999999964,3,4,1,Customers needing Attention,Switzerland
41,12399.0,3240.0,59,76659.19999999959,2,4,1,Customers needing Attention,Belgium
42,12401.0,3424.0,5,76743.49999999959,1,1,1,Hibernating,Belgium
43,12402.0,3444.0,11,76969.09999999957,1,1,1,Hibernating,Belgium
44,12403.0,3170.0,5,77396.79999999957,3,1,1,Potential Loyalist,Denmark
45,12405.0,3269.0,54,79107.18999999954,2,3,1,Customers needing Attention,Finland
46,12406.0,3143.0,105,82522.48999999948,4,4,1,Customers needing Attention,Denmark
47,12407.0,3170.0,77,84230.60999999949,3,4,1,Customers needing Attention,Belgium
48,12408.0,3153.0,105,87119.15999999952,4,4,1,Customers needing Attention,Belgium
49,12409.0,3199.0,109,98191.82999999949,2,4,1,Customers needing Attention,Switzerland
50,12410.0,3429.0,26,98885.1599999995,1,2,1,Hibernating,Switzerland
51,12412.0,3195.0,61,100112.0399999995,2,4,1,Customers needing Attention,Denmark
52,12413.0,3187.0,38,100870.1399999995,3,3,1,Potential Loyalist,France
53,12414.0,3338.0,18,101432.54999999951,1,2,1,Hibernating,Austria
54,12415.0,3145.0,716,226347.07999999984,4,5,1,Customers needing Attention,Australia
55,12417.0,3124.0,192,229996.1799999999,5,5,1,Customers needing Attention,Belgium
56,12418.0,3233.0,34,230664.7599999998,2,3,1,Customers needing Attention,Switzerland
57,12420.0,3184.0,29,231265.1499999998,3,2,1,Potential Loyalist,Cyprus
58,12421.0,3136.0,45,232072.18999999986,4,3,1,Potential Loyalist,Spain
59,12422.0,3216.0,39,232875.74999999985,2,3,1,Customers needing Attention,Australia
60,12423.0,3121.0,125,234735.0599999998,5,5,1,Customers needing Attention,Belgium
61,12424.0,3283.0,30,236496.0199999998,2,3,1,Customers needing Attention,Australia
62,12425.0,3199.0,36,237273.21999999968,2,3,1,Customers needing Attention,Portugal
63,12426.0,3315.0,30,237855.94999999966,1,3,1,Customers needing Attention,Germany
64,12427.0,3142.0,31,238681.74999999965,4,3,1,Potential Loyalist,Germany
65,12428.0,3146.0,294,246638.2099999998,4,5,1,Customers needing Attention,Finland
66,12429.0,3130.0,97,250388.6099999997,5,4,1,Customers needing Attention,Austria
67,12430.0,3164.0,11,250645.00999999966,3,1,1,Potential Loyalist,Norway
68,12431.0,3156.0,236,257132.45999999956,3,5,1,Customers needing Attention,Australia
69,12432.0,3163.0,108,262191.77999999945,3,4,1,Customers needing Attention,Norway
70,12433.0,3121.0,420,275567.6499999999,5,5,1,Customers needing Attention,Norway
71,12434.0,3205.0,50,276373.79,2,3,1,Customers needing Attention,Australia
72,12435.0,3200.0,36,284203.68000000005,2,3,1,Customers needing Attention,Denmark
73,12436.0,3220.0,16,284712.69,2,2,1,About to Sleep,Norway
74,12437.0,3122.0,200,289664.1000000005,5,5,1,Customers needing Attention,France
75,12438.0,3135.0,98,292570.95000000065,5,4,1,Customers needing Attention,Norway
76,12441.0,3487.0,11,292744.5000000007,1,1,1,Hibernating,France
